Feature;question;
F1;Es wird viel diskutiert, wie es Menschen in der heutigen Zeit geht. Manche sehen vor allem positive Entwicklungen. Andere sind eher pessimistisch. Im Folgenden sehen Sie eine Reihe von Aussagen zu Ihrer ganz persönlichen Lage. Bitte geben Sie zu jeder Aussage an, wie sehr Sie dieser zustimmen oder nicht zustimmen.;
F1A1_1;Gegenwärtig bin ich, alles in allem, zufrieden in meinem Leben.;
F1A2_1;In letzter Zeit hat sich meine Situation deutlich verschlechtert.;
F1A3_1;Ich empfinde so etwas wie Weltuntergangsstimmung.;
F1A4_1;Ich fühle mich nicht in der Lage, Sorgen zu stoppen oder zu kontrollieren.;
F1A5_1;Ich bin in der Lage, über mein Schicksal selbst zu bestimmen.;
F1A5_2;Ich habe das Gefühl, ich kann in unserer Gesellschaft etwas verändern, indem ich mich engagiere.;
F1A6_1;Ich empfinde Nervosität, Ängstlichkeit oder Anspannung.;
F1A7_1;Ich empfinde Niedergeschlagenheit, Schwermut oder Hoffnungslosigkeit.;
F1A8_1;Ich habe wenig Interesse und Freude im Alltag.;
F1A9_1;Ich empfinde große Wut, wenn ich über die momentane Situation nachdenke.;
F1A10_1;Von der Politik fühle ich mich fair behandelt.;
F1A10_2;Als Einzelner kann man sowieso nichts an der Lage des eigenen Landes ändern.;
F1A11_1;Ich leide mehr als andere in der aktuellen Situation.;
F1A12_1;Mir tun andere leid, die unter der aktuellen Situation zu kämpfen haben.;
F1A13_1;Die Energiekrise verschlechtert meine Situation.;
F1A14_1;Mit der Energiekrise kann ich einfacher umgehen als mit den Krisen der vorherigen Jahre.;
F1A15_1;Ich empfinde große Wut, wenn ich darüber nachdenke, wie wir in die aktuelle Situation geraten sind.;
F1A16_1;Ich fühle mich von unserer politischen Führung ungenügend informiert.;
F1A16_2; Unter Umständen werden aktuelle Krisen bewusst herbeigeführt, um die Interessen von Eliten zu verwirklichen. ;
F1A17_1;Ich glaube, dass unsere politische Führung gut mit den aktuellen Krisen umgeht.;
F1A17_2;Ich habe das Gefühl, dass die politische Führung meine Lage absichtlich nicht verbessert.;
F1A18_1;"Bitte klicken Sie hier auf ""Stimme nicht zu"".";
F1A19_1;In Deutschland kommen wir besser durch die aktuellen Herausforderungen als andere Nationen.;
F2;In welchem Maße bereiten Ihnen die folgenden Dinge Sorgen?;
F2A1;Dass Sie Ihre Rechnungen nicht mehr bezahlen können.;
F2A2;Dass Sie Sich beim Einkaufen einschränken müssen.;
F2A3;Dass Sie Ihren Arbeitsplatz verlieren (freilassen wenn Sie keiner Arbeit nachgehen);
F2A4;Die Situation von jungen Menschen in Deutschland;
F2A5;Die Situation von alten Menschen in Deutschland;
F2A6;Dass Deutschland tiefer in den Krieg in der Ukraine involviert wird;
F2A7;Die Situation von ukrainischen Flüchtlingen in Deutschland.;
F2A8;Die Situation von nicht ukrainischen Flüchtlingen in Deutschland.;
F2A9;Die Lage im deutschen Gesundheitssystem;
F2A10;Der Wohlstand unserer Gesellschaft;
F2A11;Der Zustand der Umwelt in meiner näheren Umgebung.;
F2A12;Der weltweite Klimawandel;
F2A14;Dass Russland Atomwaffen einsetzt;
F3;Im Folgenden sehen Sie wieder eine Reihe von Aussagen. Bitte geben Sie zu jeder Aussage an, wie sehr Sie dieser zustimmen oder nicht zustimmen.;
F3A1_1;Die aktuelle Situation verstärkt den gesellschaftlichen Zusammenhalt in Deutschland.;
F3A2_1;Deutschland zerfällt zunehmend in extreme polititsche Gruppen.;
F3A3_1;In Deutschland kann man, ohne Anfeindungen zu fürchten, seine Meinung  öffentlich äußern.;
F3A4_1;In Deutschland sind politische Debatten zunehmend aufgeheizt;
F3A5_1;In Deutschland können wir weiterhin Flüchtlinge aus der Ukraine aufnehmen.;
F3A6_1;Für Flüchtlinge aus anderen Ländern als der Ukraine haben wir keinen Platz mehr in Deutschland.;
F3A7_1;Ausländer verschärfen Kriminalitätsprobleme.;
F3A8_1;Ausländer nehmen Deutschen die Arbeitsplätze weg.;
F3A9_1;Das Sozialsystem in Deutschland kann mit den Ausländern klarkommen.;
F3A10_1;Deutschland muss in Sachen Klimaschutz viel mehr machen.;
F3A11_1;Dem Umweltschutz sollte Vorrang eingeräumt werden, auch wenn dadurch das Wirtschaftswachstum sinkt und Arbeitsplätze verloren gehen.;
F3A12_1;Ich bin bereit, meinen Energieverbrauch für den Klimaschutz einzuschränken;
F3A13_1;Ich unterstütze die Sanktionen gegen Russland trotz der Nachteile für Deutschland;
F3A14_1;Deutschland sollte die Ukraine militärisch unterstützen, so lange wie der Krieg andauert.;
F3A15_1;Die aktuellen Corona-Maßnahmen in Deutschland gehen mir zu weit.;
F3A16_1;In der gegenwärtigen Situation ist eine Maskenpflicht in Innenräumen notwendig.;
F3A17_1;Coronainfizierte Personen sollten sich weiterhin für 5 Tage isolieren müssen.;
F3A18_1;Ich bringe meine politische Meinung bei Demonstrationen zum Ausdruck.;
F3A19_1;Die Politik soll den Ausbau erneuerbarer Energien mit höchster Priorität verfolgen.;
F3A20_1;Aus finanziellen Gründen schränke ich meinen Energieverbrauch ein.;
F3A21_1;Aktuell ergibt es Sinn in Aktien zu investieren.;
F3A22_1;Die Ukraine sollte den Verlust von Land hinnehmen, um den Krieg zu beenden.;
F3A23_1;Die Hamas wird von der Mehrheit der Palästinenser in Gaza unterstützt.;
F3A24_1;Israel ist ein legitimer Staat.;
F3A25_1;Es sollte einen palästinensischen Staat geben.;
F3A25_1;Bei der israelischen Politik kann ich gut verstehen, dass man etwas gegen Juden hat.;
F3A26_1;Der Antisemitismus in Deutschland stellt für Juden eine Bedrohung dar.;
F3A27_1;In der Berichterstattung in deutschen Medien dominiert die israelische Perspektive.;
F3A28_1;Die Hamas ist eine Terrororganisation.;
F3A29_1;In der aktuellen öffentlichen Debatte um den Nahostkonflikt werden Argumente stark überspitzt und vereinfacht dargestellt.;
F3A30_1;Im nationalen Interesse ist unter bestimmten Umständen eine Diktatur die bessere Staatsform.;
F3A31_1;Wir sollten endlich wieder Mut zu einem starken Nationalgefühl haben.;
F3A32_1;Die Ausübung des islamischen Glaubens in Deutschland sollte eingeschränkt werden.;
F3A33_1;Muslime passen nicht in die deutsche Gesellschaft.;
F3A34_1;Juden passen nicht in die deutsche Gesellschaft.;
F3A35_1;In Deutschland gilt eine israelkritische Haltung als gesellschaftlich inakzeptabel.;
F3B;Wählen Sie bei den folgenden Fragen bitte genau eine Antwort, die Sie für richtig halten.;
F3B1_1;Wie viele Juden leben in Deutschland?;
F3B2_1;Wie viele Muslime leben in Deutschland?;
F3B3_1;Für Jüdinnen und Juden geht die größte Bedrohung von folgendem Teil der Gesellschaft aus:;
F3B_HuthiA1;Die Huthi;
F3_USA;USA;
F3_Deutschland;Deutschland;
F3_Russland;Russland;
F3_Ukraine;Ukraine;
F3_EU;EU;
F3_NATO;NATO;
