Feature,Assigned Component,question
Unnamed: 0,Component 11,
i_NUMBER,Component 11,
i_START,Component 37,
i_END,Component 37,
i_TIME,Component 34,
unique_id,Component 37,
wave_first,Component 22,
F1A1_1,Component 3,"Gegenwärtig bin ich, alles in allem, zufrieden in meinem Leben."
F1A2_1,Component 20,In letzter Zeit hat sich meine Situation deutlich verschlechtert.
F1A3_1,Component 22,Ich empfinde so etwas wie Weltuntergangsstimmung.
F1A4_1,Component 50,"Ich fühle mich nicht in der Lage, Sorgen zu stoppen oder zu kontrollieren."
F1A5_1,Component 50,"Ich bin in der Lage, über mein Schicksal selbst zu bestimmen."
F1A6_1,Component 53,"Ich empfinde Nervosität, Ängstlichkeit oder Anspannung."
F1A7_1,Component 53,"Ich empfinde Niedergeschlagenheit, Schwermut oder Hoffnungslosigkeit."
F1A8_1,Component 49,Ich habe wenig Interesse und Freude im Alltag.
F1A9_1,Component 22,"Ich empfinde große Wut, wenn ich über die momentane Situation nachdenke."
F1A10_1,Component 1,Von der Politik fühle ich mich fair behandelt.
F1A11_1,Component 20,Ich leide mehr als andere in der aktuellen Situation.
F1A12_1,Component 41,"Mir tun andere leid, die unter der aktuellen Situation zu kämpfen haben."
F1A13_1,Component 20,Die Energiekrise verschlechtert meine Situation.
F1A14_1,Component 50,Mit der Energiekrise kann ich einfacher umgehen als mit den Krisen der vorherigen Jahre.
F1A15_1,Component 22,"Ich empfinde große Wut, wenn ich darüber nachdenke, wie wir in die aktuelle Situation geraten sind."
F1A16_1,Component 47,Ich fühle mich von unserer politischen Führung ungenügend informiert.
F1A17_1,Component 1,"Ich glaube, dass unsere politische Führung gut mit den aktuellen Krisen umgeht."
F1A19_1,Component 50,In Deutschland kommen wir besser durch die aktuellen Herausforderungen als andere Nationen.
F2A1,Component 52,Dass Sie Ihre Rechnungen nicht mehr bezahlen können.
F2A2,Component 52,Dass Sie Sich beim Einkaufen einschränken müssen.
F2A3,Component 39,Dass Sie Ihren Arbeitsplatz verlieren (freilassen wenn Sie keiner Arbeit nachgehen)
F2A4,Component 38,Die Situation von jungen Menschen in Deutschland
F2A5,Component 53,Die Situation von alten Menschen in Deutschland
F2A6,Component 9,Dass Deutschland tiefer in den Krieg in der Ukraine involviert wird
F2A7,Component 13,Die Situation von ukrainischen Flüchtlingen in Deutschland.
F2A8,Component 13,Die Situation von nicht ukrainischen Flüchtlingen in Deutschland.
F2A9,Component 12,Die Lage im deutschen Gesundheitssystem
F2A10,Component 50,Der Wohlstand unserer Gesellschaft
F2A11,Component 7,Die Umweltsituation in meiner näheren Umgebung
F2A12,Component 7,Der weltweite Klimawandel
F3A1_1,Component 45,Die aktuelle Situation verstärkt den gesellschaftlichen Zusammenhalt in Deutschland.
F3A2_1,Component 47,Deutschland zerfällt zunehmend in extreme polititsche Gruppen.
F3A3_1,Component 45,"In Deutschland kann man, ohne Anfeindungen zu fürchten, seine Meinung  öffentlich äußern."
F3A4_1,Component 51,In Deutschland sind politische Debatten zunehmend aufgeheizt
F3A5_1,Component 9,In Deutschland können wir weiterhin Flüchtlinge aus der Ukraine aufnehmen.
F3A6_1,Component 51,Für Flüchtlinge aus anderen Ländern als der Ukraine haben wir keinen Platz mehr in Deutschland.
F3A7_1,Component 51,Ausländer verschärfen Kriminalitätsprobleme.
F3A8_1,Component 47,Ausländer nehmen Deutschen die Arbeitsplätze weg.
F3A9_1,Component 16,Das Sozialsystem in Deutschland kann mit den Ausländern klarkommen.
F3A10_1,Component 16,Deutschland muss in Sachen Klimaschutz viel mehr machen.
F3A11_1,Component 51,"Dem Umweltschutz sollte Vorrang eingeräumt werden, auch wenn dadurch das Wirtschaftswachstum sinkt und Arbeitsplätze verloren gehen."
F3A12_1,Component 51,"Ich bin bereit, meinen Energieverbrauch für den Klimaschutz einzuschränken"
F3A13_1,Component 9,Ich unterstütze die Sanktionen gegen Russland trotz der Nachteile für Deutschland
F3A14_1,Component 9,"Deutschland sollte die Ukraine militärisch unterstützen, so lange wie der Krieg andauert."
F3A15_1,Component 47,Die aktuellen Corona-Maßnahmen in Deutschland gehen mir zu weit.
F3A16_1,Component 21,In der gegenwärtigen Situation ist eine Maskenpflicht in Innenräumen notwendig.
F3A17_1,Component 21,Coronainfizierte Personen sollten sich weiterhin für 5 Tage isolieren müssen.
F3A18_1,Component 47,Ich bringe meine politische Meinung bei Demonstrationen zum Ausdruck.
F4aA1,Component 52,FFF:  €
F4aA2,Component 33,Vernunftkraft:  €
F4bA1,Component 53,alle Teilnehmenden der Studie_FFF
F4bA2,Component 33,alle Teilnehmenden der Studie_Verknunftkraft
F4bA3,Component 34,"die Teilnehmenden, die etwa gleich alt sind wie Sie (weniger als 10 Jahre jünger oder älter als Sie)_FFF"
F4bA4,Component 33,"die Teilnehmenden, die etwa gleich alt sind wie Sie (weniger als 10 Jahre jünger oder älter als Sie)_Verknunftkraft"
F4bA5,Component 46,"die Teilnehmenden, die den gleichen Bildungsabschluss haben wie Sie_FFF"
F4bA6,Component 33,"die Teilnehmenden, die den gleichen Bildungsabschluss haben wie Sie_Verknunftkraft"
F4bA7,Component 25,"die Teilnehmenden, die aus dem gleichen Bundesland kommen wie Sie_FFF"
F4bA8,Component 33,"die Teilnehmenden, die aus dem gleichen Bundesland kommen wie Sie_Verknunftkraft"
F4bA9,Component 53,"die Teilnehmenden, mit einem niedrigen Haushalteneinkommen (unter 1800 Euro)_FFF"
F4bA10,Component 33,"die Teilnehmenden, mit einem niedrigen Haushalteneinkommen (unter 1800 Euro)_Verknunftkraft"
F4bA11,Component 53,"die Teilnehmenden, mit einem mittleren Haushalteneinkommen (zwischen 1800 und 4250 Euro)_FFF"
F4bA12,Component 33,"die Teilnehmenden, mit einem mittleren Haushalteneinkommen (zwischen 1800 und 4250 Euro)_Verknunftkraft"
F4bA13,Component 21,"die Teilnehmenden, mit einem hohen Haushalteneinkommen (über 4250 Euro)_FFF"
F4bA14,Component 33,"die Teilnehmenden, mit einem hohen Haushalteneinkommen (über 4250 Euro)_Verknunftkraft"
F4bA15,Component 32,
F4bA16,Component 52,
F4i_neuA1,Component 33,"Bitte schätzen Sie, welcher Anteil (in Prozent %) aller Teilnehmenden das gesamte Geld (10 Euro) an Vernunftkraft und nichts (0 Euro) an Fridays For Future in dieser Woche spendet:  %"
F4i_neuA2,Component 45,"Bitte schätzen Sie, welcher Anteil (in Prozent %) aller Teilnehmenden das gesamte Geld (10 Euro) an Fridays For Future und nichts (0 Euro) an Vernunftkraft in dieser Woche spendet.  %"
F4i_neuA3,Component 33,"Bitte schätzen Sie, welcher Anteil (in Prozent %) aller Teilnehmenden das Geld (10 Euro) zwischen den zwei Spendenempfängern aufteilt, egal ob gleich- oder ungleichmäßig.  %"
F5A1_1,Component 51,Die Kirchen
F5A2_1,Component 46,Die Bundeswehr
F5A3_1,Component 50,Die Polizei
F5A4_1,Component 1,Das Parlament (Bundestag)
F5A5_1,Component 1,Die Regierung
F5A6_1,Component 1,Das Rechtssystem
F5A7_1,Component 1,Die öffentliche Verwaltung
F5A8_1,Component 41,Das Gesundheitssystem
F5A9_1,Component 1,Die politischen Parteien
F5A10_1,Component 26,Die Presse und das Zeitungswesen
F5A11_1,Component 34,Das öffentlich-rechtliche Fernsehen
F5A12_1,Component 46,Private Fernsehsender
F5A13_1,Component 53,Klassische Nachrichtenseiten im Internet (z.B. faz.net oder spiegel.de)
F5A14_1,Component 42,"Die sozialen Medien (z.B. Twitter, Facebook, Telegram)"
F5aA1_1,Component 34,"...von öffentlichen Medienanstalten  (ARD, ZDF, Arte,... )"
F5aA2_1,Component 34,"...von privaten etablierten Medienanstalten  (RTL, SAT1, proSieben, Spiegel, Bild...)"
F5aA3_1,Component 32,"...von alternativen Anbietern (newsblogger, social media influencer,...)"
F5bA1_1,Component 6,Webseiten und Newsapps
F5bA2_1,Component 42,"Soziale Medien (Facebook, Instagram, Youtube, Twitter, TikTok,...)"
F5bA3_1,Component 4,"Messenger Dienste (Whatsapp, Telegram, Facebook Messenger, Threema)"
F5bA4_1,Component 34,Fernsehen
F5bA5_1,Component 53,Radio & PodCasts
F5bA6_1,Component 26,Printmedien
F6a_cduA1,Component 40,CDU/CSU wie gut oder schlecht
F6a_cduA2,Component 46,CDU/CSU wie gut oder schlecht
F6a_spdA1,Component 29,SPD wie gut oder schlecht
F6a_spdA2,Component 50,SPD wie gut oder schlecht
F6a_fdpA1,Component 29,FDP wie gut oder schlecht
F6a_fdpA2,Component 46,FDP wie gut oder schlecht
F6a_gruenenA1,Component 29,BÜNDNIS 90 / Die Grünen wie gut oder schlecht
F6a_gruenenA2,Component 52,BÜNDNIS 90 / Die Grünen wie gut oder schlecht
F6a_linkeA1,Component 29,Die Linke wie gut oder schlecht
F6a_linkeA2,Component 52,Die Linke wie gut oder schlecht
F6a_afdA1,Component 44,AFD wie gut oder schlecht
F6a_afdA2,Component 51,AFD wie gut oder schlecht
F6b_cduA1,Component 46,CDU rechts links
F6b_cduA2,Component 49,CDU rechts links
F6b_spdA1,Component 46,SPD rechts links
F6b_spdA2,Component 52,SPD rechts links
F6b_fdpA1,Component 46,FDP rechts links
F6b_fdpA2,Component 16,FDP rechts links
F6b_gruenenA1,Component 46,Gruene rechts links
F6b_gruenenA2,Component 52,Gruene rechts links
F6b_linkeA1,Component 44,Linke rechts links
F6b_linkeA2,Component 52,Linke rechts links
F6b_afdA1,Component 27,AFD rechts links
F6b_afdA2,Component 49,AFD rechts links
F6mA1_1,Component 44,Wo würden Sie Ihre eigene politische Position einordnen?
F7a,Component 9,Welches Geschlecht haben Sie?
F7bA1,Component 6,Bitte geben Sie Ihre Postleitzahl an
F7cA1,Component 37,Wie alt sind Sie?
F7d,Component 8,Wurden Sie in Deutschland geboren?
F7e,Component 8,Wurde Ihre Mutter in Deutschland geboren?
F7f,Component 8,Wurde Ihr Vater in Deutschland geboren?
einkommen,Component 5,"Hier ist eine Liste mit Klassen des monatlichen Haushaltseinkommens. Bitte geben Sie an, in welcher Klasse sich Ihr Haushalt befindet, wenn Sie das monatliche Nettoeinkommen aller Haushaltsmitglieder zusammenzählen: Löhne, Renten und andere Einkommen nach allen Abzügen für Steuern und Sozialversicherungen."
F7g,Component 18,"Was ist der höchste allgemeinbildende Schulabschluss, den Sie erreicht haben?"
F7h,Component 18,"Was ist der höchste Studienabschluss, den Sie erreicht haben?"
F7i,Component 30,"Was ist der höchste berufliche Ausbildungsabschluss, den Sie erreicht haben?"
F7j,Component 46,"Sind Sie zurzeit berufstätig oder nicht? Bitte wählen Sie von dieser Liste das aus, was auf Sie zutrifft."
F7k,Component 24,Welchen Familienstand haben Sie?
F7lA1,Component 48,"Wie viele Personen leben in Ihrem Haushalt, Sie selbst eingeschlossen?"
F7mA1,Component 5,Wie viele Kinder leben in Ihrem Haushalt?
F7n,Component 14,Welcher Religionsgemeinschaft gehören Sie an?
F7o,Component 16,Welcher dieser Berufsgruppen ordnen Sie sich primär zu?
year_of_birth,Component 24,
age,Component 53,
postal_code,Component 6,
wave,Component 11,
F3A19_1,Component 52,Die Politik soll den Ausbau erneuerbarer Energien mit höchster Priorität verfolgen.
F3A20_1,Component 20,Aus finanziellen Gründen schränke ich meinen Energieverbrauch ein.
F3A21_1,Component 40,Aktuell ergibt es Sinn in Aktien zu investieren.
F5A10_2,Component 40,Die Aktienmärkte
F4iA1,Component 5,Wie viel Prozent aller Teilnehmenden spenden die gesamten 10 Euro an FFF? %
F4iA2,Component 33,Wie viel Prozent aller Teilnehmenden spenden die gesamten 10 Euro an Vernunftkraft? %
F4i_aA1,Component 33,"Bitte schätzen Sie, welcher Anteil (in Prozent %) aller Teilnehmenden das gesamte Geld (10 Euro) an Vernunftkraft und nichts (0 Euro) an Fridays For Future in dieser Woche spendet"
F4i_bA1,Component 32,"Bitte schätzen Sie, welcher Anteil (in Prozent %) aller Teilnehmenden das gesamte Geld (10 Euro) an Fridays For Future und nichts (0 Euro) an Vernunftkraft in dieser Woche spendet?"
F2A14,Component 41,Dass Russland Atomwaffen einsetzt
F3A22_1,Component 51,"Die Ukraine sollte den Verlust von Land hinnehmen, um den Krieg zu beenden."
F3_USA,Component 10,USA Rolle Ukraine
F3_CHINA,Component 49,China Rolle Ukraine
F3_Deutschland,Component 10,Deutschland Rolle Ukraine
F3_Russland,Component 49,Russland Rolle Ukraine
F3_Ukraine,Component 10,Ukraine Rolle Ukraine
F3_EU,Component 10,EU Rolle Ukraine
F3_NATO,Component 10,NATO Rolle Ukraine
